,id,score
9123,1758,66.32000000000001
9122,3048,66.34
9121,6695,66.39
9120,431,66.39
9119,9131,66.44000000000001
9118,5996,66.47
9117,5058,66.48
9116,1848,66.49
9115,7254,66.5
9114,5560,66.51
9113,2230,66.53
9112,3315,66.53999999999999
9111,9939,66.54
9110,3270,66.56
9109,4693,66.57000000000001
9108,4365,66.58
9107,6970,66.58000000000001
9106,1856,66.59000000000002
9105,338,66.62
9104,9055,66.63
9103,8644,66.63
9102,6492,66.63
9101,3054,66.64
9100,5243,66.71000000000001
9099,4201,66.77
9098,7855,66.77000000000001
9097,7617,66.79
9096,88,66.79
9095,7346,66.8
9094,8336,66.83
9093,747,66.85
9092,4931,66.85000000000001
9091,289,66.88000000000001
9090,1403,66.91000000000001
9089,1335,66.93
9088,1242,66.95
9087,2530,66.96000000000001
9086,194,66.97
9085,1698,66.99
9084,2801,67.05000000000001
9083,3846,67.08
9082,2328,67.09000000000002
9081,3848,67.09000000000002
9080,4146,67.13000000000001
9079,4514,67.14
9078,5180,67.14000000000001
9077,8177,67.16
9076,4433,67.24
9075,2514,67.24000000000001
9074,2752,67.25
9073,6798,67.26
9072,615,67.27
9071,9576,67.27000000000001
9070,7635,67.28
9069,9007,67.3
9068,6109,67.3
9067,4591,67.36
9066,9503,67.38000000000001
9065,3295,67.4
9064,8693,67.43
9063,8656,67.44000000000001
9062,5340,67.44000000000001
9061,2331,67.46000000000001
9060,4185,67.5
9059,5330,67.50000000000001
9058,6507,67.51
9057,1976,67.52
9056,9233,67.54
9055,4490,67.56
9054,5400,67.56
9053,1423,67.56
9052,8586,67.57000000000001
9051,5395,67.58
9050,3279,67.58
9049,1302,67.62
9048,6006,67.68
9047,7580,67.69
9046,8310,67.70000000000002
9045,9745,67.71000000000001
9044,5364,67.74000000000001
9043,2265,67.77
9042,8543,67.77
9041,1258,67.77
9040,4789,67.78999999999999
9039,4293,67.82000000000001
9038,3906,67.82000000000001
9037,7857,67.82000000000001
9036,3426,67.84
9035,2871,67.89
9034,152,67.91
9033,812,67.92999999999999
9032,1066,67.93
9031,3567,67.98
9030,3272,67.99000000000001
9029,1109,67.99000000000001
9028,864,68.03999999999999
9027,1664,68.04
9026,5991,68.05
9025,6787,68.06
9024,1498,68.06000000000002
9023,6789,68.09
9022,9696,68.16
9021,2025,68.19
9020,7821,68.19000000000001
9019,3243,68.2
9018,1122,68.21
9017,7024,68.28000000000002
9016,8815,68.35
9015,607,68.37
9014,4076,68.38000000000001
9013,1045,68.39
9012,4624,68.42
9011,3841,68.45
9010,9763,68.45000000000002
9009,6938,68.47
9008,3448,68.47
9007,7276,68.49
9006,330,68.49
9005,5194,68.49000000000001
9004,4721,68.51
9003,6083,68.52
9002,7282,68.52
9001,6454,68.54
9000,3138,68.60000000000001
8999,3862,68.62
8998,6041,68.63
8997,6448,68.63000000000001
8996,8722,68.63000000000001
8995,6911,68.65
8994,16,68.65
8993,8382,68.66
8992,2621,68.66000000000001
8991,4762,68.71
8990,4720,68.73
8989,1464,68.73
8988,6175,68.73
8987,3526,68.73
8986,9196,68.75
8985,2256,68.75
8984,9900,68.75
8983,4879,68.77
8982,5753,68.77
8981,6670,68.78
8980,2559,68.79
8979,99,68.8
8978,2451,68.83
8977,9004,68.85
8976,6499,68.9
8975,2171,68.91000000000001
8974,6076,68.92
8973,6587,68.94
8972,742,68.97999999999999
8971,3046,68.98
8970,674,68.99000000000001
8969,9772,69.0
8968,216,69.0
8967,6532,69.01
8966,8227,69.03
8965,7533,69.03
8964,1085,69.03
8963,1989,69.05
8962,5037,69.08
8961,8572,69.11999999999999
8960,1323,69.12
8959,7132,69.14
8958,6276,69.16
8957,4841,69.16
8956,3323,69.18
8955,1928,69.18
8954,4108,69.2
8953,512,69.21
8952,2810,69.23
8951,5029,69.23
8950,3857,69.23
8949,1084,69.25
8948,6108,69.25
8947,9505,69.25
8946,2278,69.28
8945,7750,69.29
8944,4537,69.29
8943,7178,69.31
8942,4527,69.33
8941,8424,69.34
8940,1465,69.34
8939,4700,69.34
8938,3969,69.38
8937,4042,69.38
8936,398,69.41
8935,5543,69.44000000000001
8934,5452,69.46
8933,4187,69.46000000000001
8932,3584,69.48
8931,81,69.51
8930,5258,69.52000000000001
8929,2671,69.53
8928,1112,69.53999999999999
8927,1131,69.54
8926,5139,69.54
8925,5099,69.55000000000001
8924,6403,69.56
8923,5992,69.57000000000001
8922,6523,69.59
8921,1377,69.59
8920,6110,69.59
8919,751,69.59
8918,4753,69.61
8917,5091,69.62
8916,3617,69.63
8915,8915,69.65
8914,3662,69.66000000000001
8913,68,69.66000000000001
8912,1757,69.66000000000001
8911,2297,69.69000000000001
8910,9351,69.71000000000001
8909,4919,69.73
8908,6843,69.75
8907,567,69.76
8906,356,69.78999999999999
8905,271,69.81
8904,728,69.84
8903,1254,69.86
8902,1965,69.86
8901,2012,69.88
8900,6257,69.89
8899,374,69.9
8898,790,69.9
8897,2388,69.92
8896,44,69.93
8895,5472,69.93
8894,4844,69.94000000000001
8893,752,69.95
8892,2172,69.97
8891,3923,70.01
8890,4273,70.04
8889,7567,70.06
8888,6127,70.08
8887,8612,70.14
8886,3030,70.15
8885,151,70.16
8884,7389,70.2
8883,320,70.22
8882,914,70.25000000000001
8881,9221,70.28
8880,1342,70.28
8879,127,70.29
8878,5618,70.3
8877,6278,70.34
8876,2638,70.34
8875,137,70.36
8874,5461,70.36000000000001
8873,3200,70.37
8872,5591,70.42999999999999
8871,2972,70.43
8870,5357,70.44
8869,1432,70.44
8868,4287,70.44
8867,4600,70.44
8866,4451,70.46
8865,309,70.46
8864,3239,70.46
8863,2345,70.46
8862,7126,70.49000000000001
8861,8739,70.49000000000001
8860,5043,70.50000000000001
8859,5669,70.50000000000001
8858,1138,70.55
8857,8435,70.56
8856,145,70.56
8855,5770,70.57
8854,9047,70.58000000000001
8853,97,70.58000000000001
8852,2252,70.64000000000001
8851,3958,70.66
8850,2883,70.71000000000001
8849,9632,70.71000000000001
8848,1238,70.73
8847,6019,70.73
8846,1805,70.75
8845,9238,70.75
8844,1297,70.77
8843,6059,70.78
8842,519,70.81
8841,7124,70.82000000000001
8840,7927,70.82000000000001
8839,4909,70.83000000000001
8838,337,70.83000000000001
8837,5593,70.83000000000001
8836,1394,70.84
8835,5931,70.84
8834,2462,70.85000000000001
8833,471,70.85000000000001
8832,4238,70.87
8831,6198,70.87
8830,2989,70.87
8829,4811,70.87
8828,105,70.87
8827,130,70.87
8826,8706,70.88
8825,936,70.88
8824,296,70.89
8823,763,70.89
8822,5815,70.92
8821,4963,70.92
8820,1517,70.92
8819,5546,70.93
8818,699,70.99000000000001
8817,4374,70.99000000000001
8816,9349,71.06
8815,3413,71.06
8814,1419,71.08000000000001
8813,9222,71.12
8812,5706,71.12
8811,9614,71.12
8810,9990,71.14000000000001
